时间戳[G]	当前价[0]	成交总额[2]	成交总量[1]	原始成交总量[v]	持仓量[3]	昨结算[4]	成交笔数[5]	开盘价[8]	最高价[9]	最低价[a]	今结算[b]	前收盘[c]	证券状态[h]	市盈率2[7]	多档委买价[d]	多档委买量[e]	多档委卖价[f]	多档委卖量[g]
2019-12-2414:23:30	16.46	651121399.11	397527	0	13	0.00	25733	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	3,1391,955,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	110,3759,5799,14198,817
2019-12-2414:23:27	16.46	651105019.81	397517	0	13	0.00	25731	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	10,1391,955,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	72,3747,5799,14198,817
2019-12-2414:23:24	16.46	651105019.81	397517	0	13	0.00	25731	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1391,955,618,125,422	16.470000,16.480000,16.490000,16.500000,16.510000	62,3723,5799,14198,817
2019-12-2414:23:21	16.46	651105019.81	397517	0	13	0.00	25731	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1391,955,618,125,422	16.470000,16.480000,16.490000,16.500000,16.510000	2,3720,5799,14195,817
2019-12-2414:23:18	16.48	650442600.80	397115	0	13	0.00	25729	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1391,954,618,125,422	16.480000,16.490000,16.500000,16.510000,16.520000	3702,5791,14195,811,1377
2019-12-2414:23:15	16.48	650349239.36	397058	0	13	0.00	25723	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	1,1407,954,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	14,3706,5788,14202,811
2019-12-2414:23:12	16.46	650185447.36	396958	0	13	0.00	25718	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	1,1407,954,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	34,3775,5788,14202,811
2019-12-2414:23:09	16.46	650129758.08	396924	0	13	0.00	25717	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	34,1407,954,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	10,3774,5788,14202,811
2019-12-2414:23:06	16.48	649950532.47	396817	0	13	0.00	25708	16.23	16.50	16.23	0.00	16.24	0	0.00	16.470000,16.450000,16.440000,16.430000,16.420000	1,1493,954,618,125	16.480000,16.490000,16.500000,16.510000,16.520000	3777,5788,14202,811,1367
2019-12-2414:23:03	16.47	649765448.64	396704	0	13	0.00	25697	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	63,1492,954,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	47,3768,5788,14210,811
2019-12-2414:23:00	16.45	649727776.71	396681	0	13	0.00	25694	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1525,954,618,125,422	16.470000,16.480000,16.490000,16.500000,16.510000	67,3768,5788,14150,811
2019-12-2414:22:57	16.46	649632777.93	396623	0	13	0.00	25687	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	55,1514,954,618,125	16.470000,16.480000,16.490000,16.500000,16.510000	69,3771,5783,14120,811
2019-12-2414:22:54	16.47	649516486.32	396552	0	13	0.00	25686	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	100,1514,954,618,123	16.470000,16.480000,16.490000,16.500000,16.510000	52,3766,5783,14131,811
2019-12-2414:22:51	16.47	649514848.41	396551	0	13	0.00	25685	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1514,954,618,123,422	16.470000,16.480000,16.490000,16.500000,16.510000	43,3716,5783,14131,811
2019-12-2414:22:48	16.45	649465711.11	396521	0	13	0.00	25678	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1509,954,618,123,422	16.460000,16.470000,16.480000,16.490000,16.500000	20,20,3706,5783,14131
2019-12-2414:22:45	16.48	649346143.68	396448	0	13	0.00	25677	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1582,954,618,123,422	16.470000,16.480000,16.490000,16.500000,16.510000	20,3728,5783,14131,811
2019-12-2414:22:42	16.46	649294680.10	396419	0	13	0.00	25672	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1582,954,618,123,422	16.460000,16.470000,16.480000,16.490000,16.500000	3,11,3743,5783,14126
2019-12-2414:22:39	16.46	649271749.50	396405	0	13	0.00	25668	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1582,954,618,123,422	16.460000,16.480000,16.490000,16.500000,16.510000	16,3730,5783,14126,811
2019-12-2414:22:36	16.46	649158734.40	396336	0	13	0.00	25660	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	2,1584,954,618,123	16.480000,16.490000,16.500000,16.510000,16.520000	3740,5783,14124,811,1321
2019-12-2414:22:33	16.48	649014599.20	396248	0	13	0.00	25653	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	80,1584,954,618,123	16.480000,16.490000,16.500000,16.510000,16.520000	3742,5783,14120,811,1321
2019-12-2414:22:30	16.46	648924514.70	396193	0	13	0.00	25649	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	83,1584,954,618,123	16.480000,16.490000,16.500000,16.510000,16.520000	3773,5683,14120,811,1321
2019-12-2414:22:27	16.46	648924514.70	396193	0	13	0.00	25649	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	50,1584,954,618,123	16.480000,16.490000,16.500000,16.510000,16.520000	3773,5683,14120,811,1321
2019-12-2414:22:24	16.46	648924514.70	396193	0	13	0.00	25649	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	50,1553,954,618,123	16.480000,16.490000,16.500000,16.510000,16.520000	3764,5683,14120,811,1321
2019-12-2414:22:21	16.47	648868826.10	396159	0	13	0.00	25640	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	6,1553,954,618,123	16.470000,16.480000,16.490000,16.500000,16.510000	13,3769,5683,14120,811
2019-12-2414:22:18	16.46	648826240.70	396133	0	13	0.00	25638	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	2,1553,954,618,123	16.470000,16.480000,16.490000,16.500000,16.510000	38,3704,5683,14120,809
2019-12-2414:22:15	16.46	648826240.70	396133	0	13	0.00	25638	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	2,1555,954,618,123	16.470000,16.480000,16.490000,16.500000,16.510000	37,3704,5553,14120,809
2019-12-2414:22:12	16.46	648826240.70	396133	0	13	0.00	25638	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	26,1555,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	6,3698,5543,14120,809
2019-12-2414:22:09	16.46	648698484.50	396055	0	13	0.00	25635	16.23	16.50	16.23	0.00	16.24	0	0.00	16.450000,16.440000,16.430000,16.420000,16.410000	1555,954,618,135,434	16.460000,16.470000,16.480000,16.490000,16.500000	29,6,3695,5543,14114
2019-12-2414:22:06	16.48	648567452.50	395975	0	13	0.00	25627	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	51,1583,954,618,135	16.480000,16.490000,16.500000,16.510000,16.520000	3695,5543,14114,805,1321
2019-12-2414:22:03	16.46	648201519.06	395754	0	13	0.00	25608	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	115,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	110,3742,5543,14112,805
2019-12-2414:22:00	16.46	648198243.28	395752	0	13	0.00	25606	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	111,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	110,3742,5535,14112,805
2019-12-2414:21:57	16.46	648198243.28	395752	0	13	0.00	25606	16.23	16.50	16.23	0.00	16.24	0	0.00	16.460000,16.450000,16.440000,16.430000,16.420000	82,1583,954,618,135	16.470000,16.480000,16.490000,16.500000,16.510000	76,3742,5534,14117,805
